epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1683.41,0.38313,0.43339,0.92676,0.95573,0.975,0.98341,0.91866,0.30657,0.29369,0.91312,0.0003632,0.0003632,0.0003632
126,1696.95,0.39534,0.41856,0.93597,0.85395,0.92094,0.92855,0.82686,0.43,0.48951,1.02478,0.00035,0.00035,0.00035
127,1710.44,0.42359,0.46915,0.96443,0.90117,0.94,0.95252,0.90937,0.2673,0.38197,0.88246,0.0003368,0.0003368,0.0003368
128,1724.02,0.37767,0.40311,0.93379,0.92532,0.955,0.96798,0.91361,0.28696,0.33762,0.89433,0.0003236,0.0003236,0.0003236
129,1737.14,0.35205,0.39394,0.92318,0.93357,0.9625,0.97105,0.92198,0.26989,0.32129,0.88352,0.0003104,0.0003104,0.0003104
130,1750.72,0.35459,0.39166,0.92002,0.93826,0.9575,0.97049,0.90659,0.31287,0.33833,0.91605,0.0002972,0.0002972,0.0002972
131,1763.95,0.34774,0.37304,0.91605,0.89933,0.9425,0.94941,0.88652,0.31747,0.41398,0.91962,0.000284,0.000284,0.000284
132,1777.17,0.37836,0.43588,0.95222,0.91329,0.92164,0.94466,0.88082,0.3179,0.40174,0.93047,0.0002708,0.0002708,0.0002708
133,1790.57,0.35639,0.3821,0.92388,0.8708,0.92676,0.93044,0.8536,0.36151,0.45467,0.96626,0.0002576,0.0002576,0.0002576
134,1803.89,0.37643,0.41483,0.93992,0.90713,0.92792,0.95265,0.87967,0.33664,0.39107,0.93726,0.0002444,0.0002444,0.0002444
135,1817.57,0.34217,0.39288,0.91189,0.89801,0.915,0.9452,0.88792,0.29491,0.4039,0.9074,0.0002312,0.0002312,0.0002312
136,1830.7,0.38609,0.41433,0.94256,0.85642,0.8525,0.88256,0.8142,0.34536,0.58185,0.94763,0.000218,0.000218,0.000218
137,1843.76,0.34515,0.38886,0.92362,0.86443,0.89271,0.92165,0.84101,0.36945,0.49332,0.96771,0.0002048,0.0002048,0.0002048
138,1856.92,0.36403,0.41029,0.93314,0.91629,0.95778,0.9699,0.90629,0.30763,0.33722,0.91304,0.0001916,0.0001916,0.0001916
139,1870.46,0.35372,0.39969,0.92799,0.93204,0.96,0.97174,0.90489,0.31953,0.33118,0.92636,0.0001784,0.0001784,0.0001784
140,1884.31,0.37249,0.40914,0.93592,0.89871,0.93161,0.95029,0.88054,0.33341,0.39818,0.93507,0.0001652,0.0001652,0.0001652
141,1900.65,0.30215,0.30968,0.89256,0.88657,0.9,0.92314,0.8576,0.31991,0.46651,0.928,0.000152,0.000152,0.000152
142,1913.92,0.2853,0.29021,0.89305,0.92159,0.91084,0.9499,0.87173,0.3415,0.39994,0.94911,0.0001388,0.0001388,0.0001388
143,1927.74,0.2764,0.2798,0.86245,0.94249,0.90141,0.97079,0.91778,0.27756,0.32516,0.89584,0.0001256,0.0001256,0.0001256
144,1940.72,0.28928,0.28934,0.87014,0.93126,0.8975,0.96341,0.91123,0.2767,0.35217,0.89549,0.0001124,0.0001124,0.0001124
145,1954.25,0.27298,0.27328,0.8728,0.90783,0.8625,0.94432,0.88197,0.31848,0.42722,0.93073,9.92e-05,9.92e-05,9.92e-05
146,1967.72,0.26553,0.25281,0.86016,0.8891,0.88193,0.93052,0.8721,0.31445,0.45581,0.92784,8.6e-05,8.6e-05,8.6e-05
147,1981.2,0.25751,0.25257,0.86056,0.8975,0.91941,0.94551,0.88971,0.30248,0.40946,0.91713,7.28e-05,7.28e-05,7.28e-05
148,1994.56,0.26116,0.24903,0.8533,0.89904,0.95,0.96089,0.90973,0.2828,0.35843,0.90229,5.96e-05,5.96e-05,5.96e-05
149,2007.89,0.25348,0.26095,0.85938,0.90441,0.96973,0.96979,0.92323,0.27204,0.32414,0.89345,4.64e-05,4.64e-05,4.64e-05
150,2021.16,0.24873,0.24939,0.86753,0.91781,0.9625,0.97073,0.92301,0.27819,0.31635,0.89844,3.32e-05,3.32e-05,3.32e-05
